Job ID,Title,Company,Work Location,Work Style,About Job,Experience required,Skills required,HR Name,HR Link,Resume,Re-posted,Date Posted,Date Applied,Job Link,External Job link,Questions Found,Connect Request
NK_1781423577,Software Engineer,"NTT DATA, Inc.",Pune,On-style,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-14,2026-06-14 13:22:57,https://www.naukri.com/job-listings-software-engineer-ntt-data-inc-pune-chennai-bengaluru-3-to-5-years-110626017364,Naukri Applied,None,No
NK_1781423634,Java Full Stack developer(React JS),Infosys,Pune,On-style,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-14,2026-06-14 13:23:54,https://www.naukri.com/job-listings-java-full-stack-developer-react-js-infosys-hyderabad-pune-bengaluru-5-to-9-years-220526031884,Naukri Applied,None,No
NK_1781423673,Java Full Stack developer(Angular JS) - Bengaluru,Infosys,Pune,On-style,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-14,2026-06-14 13:24:33,https://www.naukri.com/job-listings-java-full-stack-developer-angular-js-bengaluru-infosys-hyderabad-pune-bengaluru-5-to-9-years-210526015812,Naukri Applied,None,No
NK_1781423694,Java Full Stack developer - (Bengaluru),Infosys,Pune,On-style,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-14,2026-06-14 13:24:54,https://www.naukri.com/job-listings-java-full-stack-developer-bengaluru-infosys-hyderabad-chennai-bengaluru-2-to-5-years-060626005174,Naukri Applied,None,No
NK_1781423756,Java Full Stack Developer - Java + Angular,Epam Systems,Pune,On-style,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-14,2026-06-14 13:25:56,https://www.naukri.com/job-listings-java-full-stack-developer-java-angular-epam-systems-hyderabad-chennai-bengaluru-5-to-10-years-080626008737,Naukri Applied,None,No
NK_1781423798,Java Full Stack Developer,Crescendo Global,Pune,On-style,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-14,2026-06-14 13:26:38,https://www.naukri.com/job-listings-java-full-stack-developer-crescendo-global-leadership-hiring-india-gurugram-chennai-bengaluru-5-to-8-years-120626008559,Naukri Applied,None,No
NK_1781423857,Java Full Stack Developer- B,Infosys,Pune,On-style,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-14,2026-06-14 13:27:37,https://www.naukri.com/job-listings-java-full-stack-developer-b-infosys-hyderabad-chennai-bengaluru-3-to-8-years-010526021546,Naukri Applied,None,No
NK_1781424077,Java Full Stack Developer,Orcapod Consulting Services Private Limited,Pune,On-style,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-14,2026-06-14 13:31:17,https://www.naukri.com/job-listings-java-full-stack-developer-orcapod-consulting-services-noida-chennai-bengaluru-5-to-10-years-110626014732,Naukri Applied,None,No
NK_1781424167,Java Full Stack Developer,Peoplelogic Business Solutions,Pune,On-style,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-14,2026-06-14 13:32:47,https://www.naukri.com/job-listings-java-full-stack-developer-peoplelogic-business-solutions-hyderabad-pune-bengaluru-5-to-10-years-110626012198,Naukri Applied,None,No
NK_1781451884,Java Full Stack Developer-Blr(Raj),Infosys,Pune,On-style,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-14,2026-06-14 21:14:44,https://www.naukri.com/job-listings-java-full-stack-developer-blr-raj-infosys-hyderabad-chennai-bengaluru-5-to-10-years-050326012914,Naukri Applied,None,No
NK_1781451908,Java Full Stack Developer- B,Infosys,Pune,On-style,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-14,2026-06-14 21:15:08,https://www.naukri.com/job-listings-java-full-stack-developer-b-infosys-hyderabad-chennai-bengaluru-3-to-8-years-230426034548,Naukri Applied,None,No
NK_1781452497,Java Full Stack Developer,Cloudxtreme,Pune,On-style,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-14,2026-06-14 21:24:57,https://www.naukri.com/job-listings-java-full-stack-developer-cloudxtreme-hyderabad-coimbatore-bengaluru-4-to-8-years-280526010532,Naukri Applied,None,No
NK_1781453095,Java Full Stack Developer,Cloudxtreme,Pune,On-style,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-14,2026-06-14 21:34:55,https://www.naukri.com/job-listings-java-full-stack-developer-cloudxtreme-hyderabad-coimbatore-bengaluru-4-to-8-years-280526010532,Naukri Applied,None,No
NK_1781453119,Java Full Stack Developer (5-8 Years | PAN India),It is confidential,Pune,On-style,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-14,2026-06-14 21:35:19,https://www.naukri.com/job-listings-java-full-stack-developer-5-8-years-pan-india-anlage-infotech-pune-gurugram-bengaluru-5-to-8-years-220426038206,Naukri Applied,None,No
NK_1781453150,Java Full Stack Developer,Tata Consultancy Services,Pune,On-style,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-14,2026-06-14 21:35:50,https://www.naukri.com/job-listings-java-full-stack-developer-tata-consultancy-services-hyderabad-chennai-bengaluru-5-to-10-years-030626030300,Naukri Applied,None,No
NK_1781454111,Java Full Stack Developer,Premium,Pune,On-style,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-14,2026-06-14 21:51:51,https://www.naukri.com/job-listings-java-full-stack-developer-pune-chennai-bengaluru-5-to-8-years-110626011156,Naukri Applied,None,No
NK_1781454198,Java Full Stack Developer,Wipro,Pune,On-style,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-14,2026-06-14 21:53:18,https://www.naukri.com/job-listings-java-full-stack-developer-wipro-hyderabad-pune-bengaluru-5-to-10-years-090626016125,Naukri Applied,None,No
NK_1781454217,Java Full Stack Developer,Infosys,Pune,On-style,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-14,2026-06-14 21:53:37,https://www.naukri.com/job-listings-java-full-stack-developer-infosys-hyderabad-chennai-bengaluru-5-to-10-years-301225031256,Naukri Applied,None,No
NK_1781490692,Java Full Stack Developer-G,Infosys,Pune,On-style,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-15,2026-06-15 08:01:32,https://www.naukri.com/job-listings-java-full-stack-developer-g-infosys-hyderabad-chennai-bengaluru-5-to-8-years-240426031025,Naukri Applied,None,No
NK_1781498185,Java Full Stack Developer with React js,Tata Consultancy Services,Pune,On-style,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-15,2026-06-15 10:06:25,https://www.naukri.com/job-listings-java-full-stack-developer-with-react-js-tata-consultancy-services-hyderabad-pune-chennai-5-to-10-years-140626003176,Naukri Applied,None,No
NK_1781498342,Java Full Stack Developer-G,Infosys,Pune,On-style,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-15,2026-06-15 10:09:02,https://www.naukri.com/job-listings-java-full-stack-developer-g-infosys-hyderabad-chennai-bengaluru-5-to-8-years-240426031025,Naukri Applied,None,No
NK_1781498663,Java Full Stack Developer,Hiring for GCC,Pune,Remote,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-15,2026-06-15 10:14:23,https://www.naukri.com/job-listings-java-full-stack-developer-wrtr-ink-llp-pune-7-to-12-years-270526008216,Naukri Applied,None,No
NK_1781498683,Technical Lead,ti Steps,Pune,Remote,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-15,2026-06-15 10:14:43,https://www.naukri.com/job-listings-technical-lead-ti-steps-chennai-5-to-8-years-080526012454,Naukri Applied,None,No
NK_1781498988,Senior Full-Stack Developer (Immediate Joiners Only),Straive,Pune,Remote,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-15,2026-06-15 10:19:48,https://www.naukri.com/job-listings-senior-full-stack-developer-immediate-joiners-only-straive-hyderabad-5-to-8-years-100626022484,Naukri Applied,None,No
NK_1781499029,"Fullstack Ui Developer (Java, Spring Boot)",Hach Technologies,Pune,Remote,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-15,2026-06-15 10:20:29,https://www.naukri.com/job-listings-fullstack-ui-developer-java-spring-boot-hach-technologies-hyderabad-3-to-5-years-260526011925,Naukri Applied,None,No
NK_1781499195,Full Stack Developer / Front End/ Backend Developer- WFH,Optimeyes Ai,Pune,Remote,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-15,2026-06-15 10:23:15,https://www.naukri.com/job-listings-full-stack-developer-front-end-backend-developer-wfh-optimeyes-ai-pune-9-to-14-years-100626031649,Naukri Applied,None,No
NK_1781499217,Dot Net Developer (React),US based Software Company,Pune,Remote,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-15,2026-06-15 10:23:37,https://www.naukri.com/job-listings-dot-net-developer-react-see-outside-surabhi-placement-services-pune-pune-3-to-5-years-050626005767,Naukri Applied,None,No
NK_1781499268,Angular Frontend Developer,iit jobs,Pune,Remote,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-15,2026-06-15 10:24:28,https://www.naukri.com/job-listings-angular-frontend-developer-iitjobs-inc-bengaluru-6-to-11-years-030626019937,Naukri Applied,None,No
NK_1781499289,Fullstack Developer,Spark Info Solutions,Pune,Remote,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-15,2026-06-15 10:24:49,https://www.naukri.com/job-listings-fullstack-developer-spark-info-solutions-hyderabad-0-to-1-years-280526029403,Naukri Applied,None,No
NK_1781499340,Node Js Developer,Nithminds,Pune,Remote,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-15,2026-06-15 10:25:40,https://www.naukri.com/job-listings-node-js-developer-nithminds-bengaluru-5-to-6-years-130626009615,Naukri Applied,None,No
NK_1781499548,Software Developer IV-IN,Rackspace Technology,Pune,Remote,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-15,2026-06-15 10:29:08,https://www.naukri.com/job-listings-software-developer-iv-in-rackspace-technology-gurugram-8-to-11-years-070426010666,Naukri Applied,None,No
