id,timestamp,platform,jobTitle,company,location,jobUrl,status,appliedAt,notes
naukri-b4d5c70531aa4e9aa4b9f98a273da567,2026-07-26T07:58:45Z,naukri,Software Engineer,"Frappe
2.02 Reviews",Remote,https://www.naukri.com/job-listings-software-engineer-frappe-technologies-pvt-ltd-remote-1-to-6-years-240626506644,skipped,,external company application
naukri-4b0d61b4224549a19f5c3bd8df5242b0,2026-07-26T07:58:47Z,naukri,Software Engineer,"Numerator
3.9274 Reviews",remote,https://www.naukri.com/job-listings-software-engineer-numerator-remote-0-to-5-years-090726507336,skipped,,external company application
naukri-ce55443ed72d4d31a5469da1ea646df1,2026-07-26T07:58:48Z,naukri,AI Software Engineer (Early Career),"Kiprosh
4.75 Reviews",Remote,https://www.naukri.com/job-listings-ai-software-engineer-early-career-kiprosh-remote-0-to-2-years-260526500398,skipped,,external company application
naukri-b459546edf784434831d3403e119581b,2026-07-26T07:58:50Z,naukri,Software Engineer,"Numerator
3.9274 Reviews",Remote,https://www.naukri.com/job-listings-software-engineer-numerator-remote-0-to-5-years-061125502204,skipped,,external company application
naukri-74d54acfbb2d49b0b654d10654f33705,2026-07-26T07:58:51Z,naukri,Software Engineer (Ad Serving Team),"Groundtruth
3.171 Reviews",Remote,https://www.naukri.com/job-listings-software-engineer-ad-serving-team-groundtruth-careers-remote-3-to-5-years-080726504201,skipped,,external company application
naukri-b5bc17510af54ae897a312b24b7d54b1,2026-07-26T07:58:53Z,naukri,Software Engineer,"Numerator
3.9274 Reviews",Remote,https://www.naukri.com/job-listings-software-engineer-numerator-remote-0-to-5-years-220426501825,skipped,,external company application
naukri-f250919df5ba41bbbbb57da732c3911a,2026-07-26T07:58:55Z,naukri,"Software Engineer (.Net, Angular)","Numerator
3.9274 Reviews",Remote,https://www.naukri.com/job-listings-software-engineer-net-angular-numerator-remote-0-to-5-years-020925503225,skipped,,external company application
naukri-d9a3819b34ba425bbd805db9c525de86,2026-07-26T07:58:56Z,naukri,Software Engineer,"Versante Software Technologies
2.13 Reviews",Remote,https://www.naukri.com/job-listings-software-engineer-versante-software-technologies-remote-2-to-4-years-100326504058,skipped,,external company application
naukri-0fe4ec3426784916a5a534575a4a66c4,2026-07-26T07:58:57Z,naukri,Software Engineer,Sadhana It Solutions,Remote,https://www.naukri.com/job-listings-software-engineer-sadhana-it-solutions-remote-2-to-4-years-090625500433,skipped,,external company application
naukri-c8e4de66ff3f4238a974de9b39fef66f,2026-07-26T07:59:00Z,naukri,Software Engineer,"Replicon
3.5156 Reviews",Remote,https://www.naukri.com/job-listings-software-engineer-replicon-software-india-pvt-ltd-remote-1-to-4-years-140526500529,skipped,,external company application
naukri-9853c652d75c4862a8b856b156ad06a9,2026-07-26T07:59:02Z,naukri,Software Engineer,Aisquare,Remote,https://www.naukri.com/job-listings-software-engineer-ai-square-remote-1-to-5-years-040825506387,skipped,,external company application
naukri-73b8eabdfe1c47c5b2322ca592ba5bbc,2026-07-26T07:59:03Z,naukri,Software Engineer,Neotechie,REMOTE,https://www.naukri.com/job-listings-software-engineer-neotechie-private-limited-remote-2-to-5-years-140726504179,skipped,,external company application
naukri-2cc8e6bcf8fe416eb149ccb9b58a8879,2026-07-26T07:59:05Z,naukri,Software Engineer,"Deltek
3.436 Reviews",Remote,https://www.naukri.com/job-listings-software-engineer-deltek-enterprises-private-limited-remote-3-to-5-years-200526504705,skipped,,external company application
naukri-86d5e697dc3546a5b4cac232ca51494b,2026-07-26T07:59:06Z,naukri,AI Software Engineer,Open Fabric,remote,https://www.naukri.com/job-listings-ai-software-engineer-open-fabric-remote-3-to-7-years-140224500112,skipped,,external company application
naukri-bc6c9e1640e04fec89bde441520ebab9,2026-07-26T07:59:08Z,naukri,Software Engineer,"CDF Infra Con
4.110 Reviews",Remote,https://www.naukri.com/job-listings-software-engineer-cdf-infra-con-private-limited-remote-4-to-6-years-141125503592,skipped,,external company application
naukri-8fde6e401b23403080ceec94c2fb1b2d,2026-07-26T07:59:18Z,naukri,Java Full Stack Developer,"Sigma Allied Services
4.174 Reviews",Remote,https://www.naukri.com/job-listings-java-full-stack-developer-sigma-allied-services-private-limited-remote-3-to-7-years-210726504275,skipped,,external company application
naukri-91e987cd584b4d68aa7e1d4c8c5f2d2e,2026-07-26T07:59:20Z,naukri,Java developer,"Sigma Allied Services
4.174 Reviews",Remote,https://www.naukri.com/job-listings-java-developer-sigma-allied-services-private-limited-remote-2-to-7-years-210726504289,skipped,,external company application
naukri-4ea452af4ea84e1cabc0c8a7073be1a8,2026-07-26T07:59:21Z,naukri,Senior Full Stack Developer,NS Global Corporation,Remote,https://www.naukri.com/job-listings-senior-full-stack-developer-ns-global-corporation-remote-2-to-6-years-240726505912,skipped,,external company application
naukri-e1d8c93240b14bf5976333cd00083a0d,2026-07-26T07:59:23Z,naukri,Linux/Java Developer,"Sigma Allied Services
4.174 Reviews",Remote,https://www.naukri.com/job-listings-linux-java-developer-sigma-allied-services-private-limited-remote-2-to-7-years-210726504250,skipped,,external company application
naukri-4733012b79424bee90da1b199b7b2f0e,2026-07-26T07:59:53Z,naukri,Fullstack Java Application Developer,Tringapps Research Labs,"Remote, Chennai, Bengaluru",https://www.naukri.com/job-listings-fullstack-java-application-developer-tringapps-research-labs-remote-chennai-bengaluru-4-to-6-years-240726030624,failed,,application interaction failed: NoSuchWindowException
